1	0
128	11
129	12
130	13
131	14
132	2
133	3
134	15
135	16
136	72
137	17
138	18
139	19
140	20
141	21
142	195
143	186
144	196
145	22
146	23
147	24
148	4
149	285
150	201
151	184
152	5
153	6
154	7
155	53
156	25
157	31
158	45
159	32
160	108
161	34
162	46
163	42
164	8
166	48
167	49
168	37
169	9
170	52
171	50
172	38
174	71
176	1
177	26
178	27
179	28
180	30
188	188
189	189
193	175
194	176
195	177
196	178
198	75
202	35
204	68
205	69
206	33
207	36
208	39
210	78
212	80
217	47
224	56
241	57
242	58
243	62
244	59
245	60
250	51
281	147
282	109
283	110
284	113
286	95
292	401
293	403
294	402
331	98
340	82
341	83
342	116
343	117
344	120
345	123
346	124
347	127
348	143
349	140
350	137
351	136
353	489
354	556
355	148
356	149
357	65
358	150
360	145
361	168
362	146
363	151
365	157
366	144
367	182
371	174
372	158
373	165
374	166
376	167
377	173
384	170
385	171
386	172
387	169
388	197
389	198
390	199
391	200
392	180
394	187
395	179
396	210
397	211
398	212
399	213
400	214
401	215
402	216
403	417
416	241
417	217
418	218
419	219
420	230
421	248
423	204
424	205
425	206
426	207
427	220
428	221
429	223
430	244
431	242
432	256
433	222
434	243
435	252
436	235
437	236
438	231
439	224
440	225
441	227
442	237
443	238
444	239
445	240
446	404
447	407
462	226
463	253
478	257
504	267
505	260
507	261
508	269
510	262
511	268
512	276
514	275
515	274
516	277
517	283
519	280
520	286
521	287
522	289
523	290
534	308
535	309
536	310
537	81
553	291
554	296
555	292
556	298
557	297
558	315
559	304
567	305
568	306
569	307
570	314
571	317
572	313
573	320
574	321
575	322
576	334
578	311
579	295
580	326
581	328
582	330
583	332
588	341
608	323
609	324
610	325
611	335
612	367
613	371
614	354
615	337
616	336
617	350
620	368
621	369
622	372
623	375
626	359
627	343
628	370
629	380
630	356
632	349
633	357
635	366
636	355
637	353
639	377
641	364
649	425
650	427
651	430
652	434
653	433
654	388
655	438
658	445
659	410
660	396
661	397
662	360
663	362
665	411
673	229
674	400
679	405
680	376
681	378
682	379
683	381
689	373
690	389
691	390
692	391
693	392
694	394
707	299
712	408
719	399
721	190
722	282
724	398
725	409
727	383
728	10
729	412
730	435
731	413
732	414
733	416
734	422
735	420
736	421
738	419
739	437
741	451
742	439
743	441
744	461
745	440
746	450
748	446
749	447
750	448
751	449
756	444
759	463
761	468
763	467
764	462
768	464
769	478
776	470
777	475
778	476
780	477
781	469
786	479
787	483
788	481
789	480
790	487
791	488
792	507
793	500
794	499
795	484
796	490
798	485
799	501
800	486
801	502
807	508
808	509
809	504
810	503
813	491
814	492
815	493
816	494
817	495
818	496
819	497
820	498
821	528
822	536
823	510
824	516
826	512
827	515
829	518
836	540
837	544
838	532
840	530
841	538
842	545
843	546
844	547
846	557
847	558
849	559
850	560
851	561
852	562
857	564
859	553
878	565
879	563
880	552
882	569
884	567
886	574
887	573
888	568
889	576
892	582
893	577
895	575
896	578
898	585
899	601
900	604
901	584
902	589
903	590
904	591
905	599
911	600
913	607
914	598
915	603
